name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Savard Gagnon, David",16.87,33.92,69.62,73.5,87.87,107.98,127.5,146.57,154.9,5.92,175,154,141,32,M,CAN,QC,Baie-St-Paul,142
"Catalano, Andrew R",16.62,33.42,69.05,73.18,89.43,113.65,135.48,160.72,170.75,6.52,1016,963,770,27,M,USA,CO,Colorado Springs,143
"Ayr, Jason M.",17.07,34.1,68.33,72.15,85.45,102.75,120.58,138.82,147.6,5.63,68,57,52,26,M,USA,MA,Northampton,144
"Scheid, Justin",17.5,34.82,69.75,73.55,87.1,105.0,123.48,142.1,150.33,5.75,99,87,81,28,M,USA,NJ,Sparta,146
"Favela, Emisael",17.62,34.98,70.62,74.5,88.37,106.82,126.53,147.08,156.23,5.97,211,188,168,37,M,USA,IL,Berwyn,147
"Nielsen, Brian",17.2,34.8,71.7,75.67,90.42,109.98,130.92,151.53,160.82,6.13,369,342,297,37,M,SWE,others,Tullinge,148
"Baker, Jonathan E.",17.1,34.15,68.37,72.18,85.47,102.8,120.47,138.03,145.7,5.57,54,43,39,30,M,USA,MA,Cambridge,149
"Darda, Joseph",17.07,34.12,68.53,72.42,86.82,106.33,126.58,146.57,154.97,5.92,177,155,142,26,M,USA,CT,Willimantic,150
"McElwain, Spencer",17.73,34.9,68.97,72.72,85.93,103.5,125.68,148.0,157.92,6.03,260,234,205,24,M,USA,ME,Bangor,151
"Papadopoulos, Ioannis",17.3,34.73,70.27,74.17,88.85,109.52,131.17,159.33,169.55,6.47,922,876,711,29,M,GRE,others,Athens,152
"Williams, Andrew D.",17.0,34.17,68.87,72.6,86.13,103.98,122.02,139.33,146.63,5.6,60,49,45,26,M,USA,IN,Middlebury,153
"Laye, Matthew J.",17.02,34.22,68.57,72.27,85.55,102.63,119.53,136.15,143.53,5.48,43,34,32,33,M,USA,CA,Suaslito,155
"Chu, Steve",17.42,34.88,69.87,73.67,87.25,104.8,123.72,143.2,150.53,5.75,103,90,84,31,M,USA,CO,Colorado Springs,156
"Robinson, Sam F",16.92,33.95,68.2,71.93,85.48,104.0,123.0,141.83,150.23,5.73,98,86,80,29,M,USA,CA,Oakland,157
"Burnstein, Mike",17.1,34.15,69.77,73.85,88.32,107.38,126.93,146.27,154.4,5.9,163,142,131,24,M,USA,MA,Brookline,158
"Madut, Thomas G.",16.63,33.82,69.25,73.07,87.23,106.4,126.65,148.27,158.05,6.03,262,236,207,28,M,USA,SD,Mitchell,160
"Rock, Jon",15.63,32.15,66.63,70.35,83.9,101.63,120.28,139.32,147.92,5.65,72,60,55,24,M,USA,MI,Macomb,162
"Mena, Kyle",16.62,33.27,67.57,71.47,86.05,110.47,130.68,151.57,161.05,6.15,378,351,304,28,M,USA,MI,Portage,163
"Zolla, Joshua R",18.05,35.62,71.32,75.25,89.32,107.72,128.03,150.75,160.07,6.12,343,316,276,27,M,USA,ME,Freeport,164
"Schlich, Daniel P.",17.35,34.48,70.98,75.2,90.48,110.37,129.97,149.57,157.87,6.03,255,229,201,21,M,USA,NY,West Point,165
"Pearson, Neil F.",17.08,34.4,69.62,73.5,87.45,106.07,126.08,146.38,155.1,5.92,183,161,8,41,M,AUS,others,Rozelle,166
"Manning, Matthew",17.87,35.65,72.0,75.97,90.18,109.08,128.43,147.05,155.4,5.93,191,168,152,34,M,USA,TX,Katy,167
"Mariano, Gregory F.",17.25,34.58,69.58,73.4,87.05,105.32,125.73,147.82,158.98,6.07,296,269,234,28,M,USA,VA,Alexandria,168
"O'Grady, Thomas",17.2,34.58,69.58,73.37,86.98,104.75,122.85,140.65,148.65,5.68,77,65,60,28,M,USA,NY,Latham,169
"Tarneja, Ankur",17.87,35.48,70.9,74.73,88.63,106.62,124.87,143.08,151.23,5.78,109,95,89,32,M,USA,CA,Los Angeles,170
"Shute, Geoffrey",17.57,35.52,71.68,75.62,89.72,108.25,127.15,145.73,154.03,5.88,151,130,120,38,M,USA,NJ,Woodbury,171
"Johnson, David R.",17.53,35.2,70.4,74.2,87.8,105.4,124.2,143.68,152.25,5.82,125,108,101,25,M,USA,MA,Northampton,172
"Marx, Zachary A.",16.75,34.22,73.37,77.7,92.35,111.2,132.97,154.17,163.1,6.23,475,444,377,24,M,USA,CO,Usaf Academy,173
"Sinko, Stephen",18.1,35.8,70.95,74.7,88.75,107.5,127.63,153.35,164.22,6.27,538,506,424,37,M,USA,DE,Hockessin,174
"Ellington, Stewart",17.95,36.0,73.35,77.3,91.65,110.52,129.55,149.63,160.13,6.12,347,320,279,39,M,USA,TN,Knoxville,175
"Roth, Mike",17.57,35.63,71.8,75.73,89.78,108.35,127.35,146.52,155.02,5.92,178,156,143,25,M,USA,MI,Detroit,176
"Marley, David",17.5,35.23,70.78,74.68,88.82,108.07,129.3,151.93,162.65,6.22,454,424,362,27,M,USA,GA,Columbus,178
"Martin, Daniel",17.6,35.12,70.5,74.33,88.32,106.73,125.65,143.95,151.97,5.8,118,102,95,30,M,USA,FL,Miami Shores,180
"Loseman, Chris A.",17.07,33.8,67.53,71.22,84.55,102.3,120.68,139.23,147.62,5.63,69,58,53,25,M,USA,MO,Saint Charles,181
"Tarneja, Neel",17.1,34.15,68.93,72.77,86.3,103.75,121.93,141.17,149.07,5.7,82,70,64,31,M,USA,MA,Shrewsbury,182
"Hanlin, Cameron",18.02,36.25,72.38,76.33,90.52,109.32,128.98,148.75,157.82,6.03,253,227,200,26,M,USA,CO,Colorado Springs,183
"Schlegel, Rob",17.87,35.85,72.83,76.97,91.95,112.8,136.67,163.33,174.35,6.65,1402,1324,1024,28,M,USA,OR,Portland,184
"Thomas, Jonathan",18.02,36.02,72.03,75.97,90.52,110.68,131.88,152.92,162.13,6.2,426,398,343,26,M,USA,LA,Baton Rouge,185
"Masland, Caleb",17.98,35.77,71.07,74.88,88.62,106.63,124.85,143.45,152.0,5.8,119,103,96,32,M,USA,NC,Blowing Rock,186
"O'Leary, Brendon P",17.2,34.42,69.47,73.38,87.13,105.27,123.58,141.38,149.32,5.7,87,75,69,32,M,USA,MA,Whitman,187
"Bowles, Eric",18.58,37.18,74.23,78.22,92.42,110.88,129.68,149.15,158.47,6.05,274,248,216,28,M,USA,CA,Santa Monica,188
"Hensley, Mike",17.33,34.78,70.28,74.15,88.13,106.63,125.23,143.57,151.85,5.8,117,101,94,28,M,USA,FL,Gainesville,189
"Kessinger, Andrew",18.27,36.6,73.47,77.57,92.68,114.03,137.7,160.47,170.27,6.5,979,928,108,44,M,USA,OH,Upper Arlington,190
"Mcgrath, Tom",17.72,35.7,71.17,75.03,88.85,106.7,124.95,142.6,150.4,5.75,101,89,83,27,M,CAN,AB,Edmonton,191
"Guirard, Mitch",18.02,36.23,73.05,77.05,91.38,110.2,130.43,154.3,166.33,6.35,673,636,525,28,M,USA,FL,West Palm Beach,192
"Jurek, Samuel C.",18.15,36.23,73.32,77.37,91.98,111.38,130.88,149.72,157.97,6.03,261,235,206,27,M,USA,MA,Boston,193
"Ohara, Chip",16.58,33.22,67.02,70.72,83.83,100.9,118.95,136.72,144.58,5.52,50,39,36,33,M,USA,NY,Auburn,195
"Desilets, Christopher",17.75,35.83,72.82,76.87,91.58,110.68,130.7,152.65,162.63,6.22,453,423,361,27,M,USA,CO,Littleton,196
"Heffron, Rich",17.9,35.45,71.1,75.0,89.47,109.07,129.4,149.88,158.82,6.07,292,265,230,30,M,USA,IL,Chicago,197
"Naranjo, Nicolai",17.53,35.2,70.4,74.22,87.8,105.1,122.73,140.78,148.78,5.68,78,66,61,25,M,USA,MA,Northampton,198
"Harvey, Brian C.",16.17,32.62,65.08,68.62,81.28,98.13,115.48,132.9,140.52,5.37,26,24,23,26,M,USA,MA,Boston,199
"Williams, Richard M.",17.88,35.83,72.17,76.17,90.45,109.12,127.82,146.12,153.98,5.88,149,128,118,27,M,USA,MA,Somerville,200
"Schramm, Cedric",18.27,36.93,75.3,79.62,94.5,113.82,133.28,152.23,161.12,6.15,381,354,307,37,M,FRA,others,Sarreguemines,202
"McGinness, Chris",19.72,39.35,79.08,83.35,98.32,117.07,136.83,157.6,166.98,6.38,708,670,553,35,M,USA,OR,Portland,203
"Svet, John",17.0,34.23,70.18,74.28,89.47,110.2,132.2,153.42,162.2,6.2,431,403,347,23,M,USA,CA,Brea,204
"Dennis, Robert A",21.57,42.8,87.27,92.17,110.55,135.08,160.93,187.93,199.53,7.62,6347,5457,2933,28,M,USA,NJ,Kingston,206
"Coffey, Ethan",18.88,38.37,81.17,85.58,103.03,127.72,155.52,180.77,191.22,7.3,4375,3975,2451,31,M,USA,TN,Knoxville,210
"Delancey, Derek",18.32,36.8,74.1,78.17,92.47,111.35,131.22,151.47,160.22,6.12,353,326,285,35,M,USA,AZ,Gilbert,211
"Cater-Cyker, Zachary",18.08,35.7,71.4,75.25,89.37,108.13,127.22,146.07,154.13,5.88,156,135,124,29,M,USA,TX,Houston,212
"Raulli, Chris",17.0,34.25,69.27,73.12,87.75,108.33,128.8,149.53,158.77,6.07,288,262,227,25,M,USA,NY,North Syracuse,213
"Grabau, Zane J.",18.48,36.52,72.67,76.6,90.85,109.75,129.27,150.83,161.58,6.17,399,372,321,25,M,USA,MN,Waterville,214
"Doyle, Kevin R",17.58,35.17,70.35,74.13,87.83,106.08,124.5,142.2,150.07,5.73,95,83,77,34,M,USA,PA,Ebensburg,215
"Mcnamara, Brian",17.28,34.7,70.13,74.02,88.25,107.42,127.63,147.95,157.08,6.0,227,203,180,31,M,USA,MA,Cambridge,216
"Karbelk, Jason",17.38,34.78,70.15,74.02,88.27,107.68,128.12,147.88,156.8,5.98,223,199,177,27,M,USA,CA,Daly City,218
"Ebiner, Matt",18.43,36.82,74.15,78.22,92.77,112.35,132.8,152.72,161.42,6.17,389,362,5,53,M,USA,CA,Covina,219
"Ludovici, Benjamin",17.32,34.65,69.88,73.82,88.15,107.35,128.42,149.55,159.03,6.07,300,273,237,25,M,USA,OK,Oklahoma City,222
"Libs, Andrew",18.03,36.55,74.02,78.1,92.48,111.27,129.97,149.05,157.3,6.0,239,214,189,23,M,USA,MI,Ann Arbor,224
"Bergman, Marc J.",19.5,38.55,77.27,81.52,96.68,117.05,137.12,156.48,164.62,6.28,564,531,443,34,M,USA,TX,Austin,227
"Leese, Ben J.",16.83,33.78,67.97,71.67,86.62,104.87,123.95,143.42,152.68,5.83,129,111,104,33,M,USA,NY,Brooklyn,228
"Gittelman, Brandon",17.9,35.43,70.7,74.57,89.42,110.55,133.12,161.62,170.17,6.5,972,922,748,24,M,USA,IL,Naperville,229
"Dorgan, Patrick",21.38,42.42,84.78,89.28,105.28,126.02,146.7,167.98,177.1,6.77,1790,1691,1271,33,M,USA,IL,Wheaton,230
"Valentine, Eddie",17.78,35.7,71.9,75.85,89.95,108.32,126.63,144.57,152.85,5.83,133,114,107,34,M,USA,VA,Arlington,231
"Morton, Bryan",20.68,40.65,79.62,83.77,98.8,118.7,139.77,164.05,171.77,6.57,1112,1056,836,31,M,USA,TX,Austin,232
"Yamanaka, Yuji",16.8,34.17,69.97,73.78,88.05,107.02,126.83,146.62,155.65,5.95,199,176,13,42,M,JPN,others,Saitama-Ken Pref,233
"Donaghy, Roger",18.37,36.92,74.17,78.23,92.65,111.37,130.13,148.38,156.28,5.97,213,190,170,35,M,USA,MA,Belmont,234
"Thomas, Jeffrey A.",21.67,43.27,86.88,91.5,107.5,128.22,150.82,178.67,189.35,7.23,4004,3671,2335,33,M,USA,IL,Chicago,235
"Dockemeyer, Kevin J.",17.13,34.88,71.18,75.12,89.4,108.2,127.13,146.15,155.1,5.92,182,160,147,27,M,USA,IL,Wilmington,236
"Holowka, Tom",18.53,36.73,73.43,77.45,91.78,110.4,129.57,149.23,157.9,6.03,258,232,203,28,M,USA,CT,New Haven,237
"Reiff, Brandon",20.73,41.72,84.92,88.85,102.92,121.42,141.3,159.82,168.08,6.42,798,755,615,32,M,USA,NV,Reno,238
"Warwick, Kurt",16.93,34.37,70.63,74.57,89.02,108.33,127.55,146.68,155.15,5.93,185,162,148,25,M,USA,WA,Clinton,239
"Pletcher, Kyle",17.27,34.68,70.13,74.02,88.2,108.27,130.38,153.12,161.92,6.18,419,391,336,26,M,USA,IN,Walkerton,240
"Veres, Connor J",18.47,36.8,75.95,80.33,97.35,122.12,148.83,190.38,204.68,7.82,7711,6322,3151,22,M,USA,PA,Easton,241
"Chorney, David",17.1,34.17,69.05,72.95,87.55,107.68,129.07,150.1,159.23,6.08,307,280,243,26,M,USA,MA,Somerville,243
"Milenkevich, Timothy",18.33,36.67,74.52,78.75,94.18,115.05,137.67,162.68,175.23,6.68,1525,1440,1103,32,M,USA,CT,Ansonia,244
"Haro, Drew L.",18.02,36.0,72.02,75.95,90.13,109.13,129.52,150.85,159.93,6.1,340,313,273,28,M,USA,LA,Metairie,246
"White, Alex",19.0,38.15,75.35,79.42,93.77,112.15,130.53,148.68,156.53,5.98,219,196,174,29,M,USA,MA,Somerville,247
"Moreland, Jeffrey",18.42,36.4,72.27,76.15,89.92,108.23,127.15,145.37,153.75,5.87,146,125,115,36,M,USA,NV,Reno,248
"Buschman, Mark",17.65,35.23,70.42,74.23,88.28,107.62,128.32,149.68,159.08,6.08,302,275,239,30,M,USA,MD,Frederick,250
"Kaplan, Josh",24.42,48.82,97.42,102.7,121.73,146.12,170.68,195.27,205.7,7.85,7990,6481,3182,28,M,USA,OR,Portland,252
"Kiely, Owen",17.2,34.75,69.85,73.65,87.2,104.93,123.43,141.97,150.22,5.73,97,85,79,30,M,USA,CA,Pasadena,253
"Way, Dan",17.88,36.12,73.12,77.12,91.53,110.42,129.92,149.37,157.92,6.03,259,233,204,27,M,CAN,ON,Toronto,254
"Maedel, Nicholas",16.88,33.88,68.03,71.73,85.0,102.88,121.47,139.68,147.97,5.65,73,61,56,25,M,USA,FL,Tampa,255
"Henry, Justin",18.23,35.8,71.5,75.37,89.25,107.87,126.73,145.33,154.03,5.88,152,131,121,30,M,USA,CO,Lafayette,256
"Schneider, Mac",18.02,35.93,72.43,76.43,91.07,110.2,129.72,151.07,160.87,6.15,371,344,299,25,M,USA,WA,Woodway,257
"Steffen, Joshua G.",17.52,35.02,70.07,73.9,87.65,105.98,125.07,143.78,152.25,5.82,126,109,102,33,M,USA,NH,New London,258
"Moser, Felix",17.88,35.8,71.6,75.52,89.47,108.15,128.53,148.85,158.57,6.05,278,252,219,29,M,USA,MA,Cambridge,259
"Montgomery, Justin",19.97,39.95,79.5,83.77,99.18,119.02,139.17,159.83,169.2,6.47,892,846,687,38,M,USA,NH,Claremont,260
"Korth, Joshua L.",24.37,48.93,96.42,101.57,120.1,143.62,165.83,193.28,208.25,7.95,8747,6907,3275,26,M,USA,NY,Brooklyn,261
"Harkin, David",18.02,36.08,72.78,76.88,92.88,114.63,136.63,158.15,168.03,6.42,794,751,87,44,M,USA,OR,West Linn,262
"Beedell, Thomas C.",17.75,35.77,71.82,75.83,89.93,108.47,127.45,146.47,155.37,5.93,189,166,151,27,M,GBR,others,Brentwood,263
"Garber, Kent",17.48,34.98,71.38,75.52,90.72,111.1,132.02,152.98,161.7,6.18,407,379,325,28,M,USA,MA,Boston,264
"Stone, Chris C",18.13,36.38,73.1,77.07,91.33,110.08,129.18,148.67,157.9,6.03,257,231,202,33,M,CAN,AB,Edmonton,266
"Buslepp, Michael C.",17.25,34.83,70.27,74.13,88.05,106.82,126.5,148.12,158.35,6.05,271,245,213,32,M,USA,MI,Sterling Heights,267
"Leach, Justin",17.92,35.92,72.43,76.42,91.17,111.65,133.75,159.02,169.93,6.48,955,906,735,27,M,USA,AL,Sterrett,268
"Fernandez Cantos, Juan Antonio Sr.",16.73,33.88,68.87,72.63,86.35,104.6,123.23,142.38,150.75,5.75,107,93,87,32,M,ESP,others,Benidorm,269
"Scott, Brian M.",18.0,36.43,73.58,77.63,92.08,111.18,130.47,149.22,157.43,6.02,240,215,190,36,M,USA,IL,Naperville,270
"Goode, Adam",18.27,36.28,72.23,76.17,90.32,109.17,129.37,150.47,161.05,6.15,379,352,305,30,M,USA,ME,Bangor,271
"Bedbury, Nick",17.33,34.68,70.65,74.67,89.55,108.9,129.0,149.58,158.75,6.07,285,259,224,25,M,USA,NY,Syracuse,272
"Marshall, Kyle B",23.2,46.78,95.8,101.33,122.12,149.93,177.58,208.27,220.05,8.4,12447,8745,3647,23,M,USA,AZ,Phoenix,273
"Babcock, Steven",19.33,39.18,78.62,82.97,100.08,123.35,145.63,168.75,179.13,6.83,2181,2062,1491,28,M,USA,MO,St. Louis,274
"Brigham, Nathan",17.33,34.7,69.9,73.65,87.3,105.53,124.63,143.63,152.07,5.8,120,104,97,31,M,USA,MD,Baltimore,275
"Chvatal, Brad A.",18.42,36.72,73.47,77.47,91.7,110.58,130.35,151.18,159.85,6.1,336,309,28,42,M,USA,OR,Coburg,276
"Kaczmarek, Bruce",18.67,37.53,76.2,80.4,95.53,117.32,138.8,161.87,171.93,6.57,1130,1073,848,27,M,USA,PA,Philadelphia,277
"Garbe, Ben",17.18,34.58,69.95,73.83,88.42,108.37,129.58,150.92,160.08,6.12,344,317,277,25,M,USA,WI,Fitchburg,278
"Williams, Jordan",18.27,36.75,74.08,78.15,92.72,111.67,130.92,150.5,159.4,6.08,317,290,251,24,M,USA,WI,Sheboygan Falls,280
"Mead, Gerad",19.55,38.9,79.57,83.93,99.57,120.07,141.28,162.35,171.62,6.55,1100,1044,826,34,M,USA,MN,Minneapolis,281
"Minns, Chris",18.52,37.17,74.57,78.67,93.42,112.97,133.0,153.62,163.13,6.23,479,448,45,40,M,GBR,others,Beckenham,282
"Franz, David",18.05,35.92,73.4,77.5,92.73,114.38,136.18,157.27,167.15,6.38,719,681,563,27,M,USA,KS,Leawood,283
"Reed, Andrew C",18.55,37.07,74.28,78.4,92.87,112.05,133.85,156.5,166.65,6.37,690,652,538,25,M,USA,WA,Seattle,284
"Mangum, Scott",18.78,37.45,75.35,79.48,94.22,113.53,133.03,152.03,160.45,6.13,358,331,290,38,M,USA,IL,Barrington,285
"Mah, Christopher",18.22,36.32,72.4,76.3,90.28,108.55,127.23,145.92,154.37,5.9,161,140,129,30,M,USA,WA,Seattle,286
"Verdi, Daniel",19.03,38.0,76.55,80.75,95.48,114.83,135.32,158.43,168.4,6.43,816,771,630,32,M,USA,CO,Denver,287
"Toland, Hugh J. IV",17.7,35.02,69.98,73.8,87.55,106.12,125.92,145.55,154.08,5.88,154,133,122,33,M,USA,VA,Bristow,289
"Dichiara, Tom",17.22,34.78,70.12,73.97,87.7,105.38,123.43,141.78,149.82,5.72,93,81,75,36,M,USA,MD,Bethesda,290
"Logsdon, Cory",17.43,35.4,71.53,75.47,89.68,108.57,128.2,152.05,162.75,6.22,463,432,369,26,M,USA,NE,Omaha,291
"Johnston, Charlie T.",17.95,35.83,71.95,75.9,90.22,109.3,128.72,147.63,155.97,5.95,208,185,165,31,M,USA,NV,Sparks,292
"Brady, Michael",18.8,37.47,75.2,79.28,94.65,115.95,138.1,160.27,169.78,6.48,945,897,728,28,M,USA,NY,Brooklyn,293
"Uthmeier, James W.",20.08,40.02,80.1,84.4,99.98,120.23,141.0,163.78,174.05,6.65,1359,1285,997,26,M,USA,DC,Washington,294
"Chaillou, Thomas",16.83,33.98,68.87,72.65,86.18,103.85,121.83,139.47,147.53,5.63,67,56,51,29,M,USA,KY,Lexington,296
"Adams, Bob",18.02,36.33,72.87,76.83,91.12,110.1,129.75,153.87,164.63,6.28,566,533,445,33,M,USA,TN,Ooltewah,297
"Edstrom, Dan",18.07,35.72,71.92,75.9,90.22,109.03,127.78,146.47,154.6,5.9,167,146,135,37,M,USA,CO,Denver,298
"Rayner, Kenny",17.78,35.63,71.63,75.6,90.25,110.55,132.97,155.58,165.8,6.33,638,602,501,23,M,USA,MA,Allston,299
"Knutson, Michael",16.92,33.83,68.25,72.02,85.57,103.65,122.57,141.43,150.05,5.73,94,82,76,34,M,USA,OR,Baker City,300
"Rand, Matt",16.98,33.87,68.0,71.67,85.03,103.07,122.43,143.08,152.85,5.83,134,115,108,22,M,USA,VA,Alexandria,301
"Sharman, Ian",18.05,36.23,73.25,77.32,92.45,112.1,131.68,150.8,159.23,6.08,308,281,244,33,M,USA,CA,Walnut Creek,302
"McCue, Daniel T.",19.08,38.27,76.22,80.3,95.02,114.57,134.32,154.52,163.43,6.25,489,458,389,37,M,USA,MA,Arlington,303
"Keefe, Bradley N.",17.9,35.67,71.95,75.88,90.1,109.08,128.65,148.45,157.45,6.02,241,216,191,33,M,CAN,MB,Winnipeg,304
"Butler, Derrick",18.6,37.45,75.43,79.62,94.8,118.32,151.95,194.58,225.15,8.6,13957,9407,3744,33,M,USA,OH,Ashtabula,305
"Clifford, Tom G.",17.37,34.92,69.73,73.57,87.15,104.97,123.02,141.17,149.53,5.72,90,78,72,30,M,USA,NC,Wilmington,307
"Mahoney, Bryan C.",17.67,35.57,72.4,76.5,91.25,111.15,131.75,152.53,161.85,6.18,416,388,333,31,M,USA,MA,Somerville,308
"Parker, Hugh F.",17.53,35.57,72.48,76.47,91.52,111.47,131.73,151.43,159.52,6.1,318,291,252,23,M,USA,NY,New York,309
"Meigs, Tim",24.88,49.67,94.85,99.67,117.33,140.03,163.32,187.27,198.2,7.57,5969,5182,753,47,M,USA,NC,Raleigh,310
"Quednau, Todd",27.35,48.93,92.82,97.6,115.33,140.98,165.05,189.55,199.43,7.62,6313,5432,2929,32,M,USA,IL,Chicago,311
"Smith, Kevin",19.1,38.45,77.23,81.53,96.87,117.18,138.23,160.4,172.38,6.58,1173,1112,874,28,M,USA,NY,Hamburg,312
"Tomaszewski, Jeff A.",22.18,44.67,89.75,94.67,112.38,135.1,158.5,184.07,194.53,7.43,5179,4612,2684,39,M,USA,CA,San Diego,313
"Aubert, Nic",17.55,34.87,70.22,74.07,88.18,107.2,126.77,146.65,155.58,5.95,198,175,157,26,M,USA,IL,Chicago,314
"McMahon, Craig T.",18.78,37.48,75.65,79.78,94.72,114.23,134.43,155.47,164.65,6.28,567,534,446,24,M,USA,MA,Brighton,316
"Bardeesy, Rami",18.68,37.38,76.53,80.92,97.05,118.93,143.17,169.35,180.65,6.9,2477,2340,196,45,M,CAN,NS,Halifax,317
"Weppler, Jason V.",17.93,35.9,72.25,76.25,90.7,109.82,129.57,149.62,158.98,6.07,297,270,235,38,M,CAN,ON,Shallow Lake,318
"Reilly, Jason T.",18.48,36.4,72.93,76.78,91.27,110.42,130.43,149.6,158.12,6.03,263,237,208,31,M,USA,RI,Cumberland,319
"Harada, Koichi",18.85,38.03,77.23,81.43,96.78,117.53,139.0,160.6,171.33,6.55,1075,1020,806,37,M,JPN,others,Tokyo,321
"Denucci, Christopher C.",18.42,36.8,74.1,78.13,92.68,111.82,131.28,150.3,158.43,6.05,272,246,214,34,M,USA,CA,Menlo Park,322
"Lee, Kam S",17.73,36.2,73.45,77.47,91.92,110.92,129.97,148.82,157.22,6.0,235,210,5,45,M,USA,OH,Middleburg Heights,324
"Rose, Connor",19.47,38.88,77.3,81.43,96.08,114.83,133.5,151.85,160.42,6.13,357,330,289,23,M,USA,NY,New York,325
"Kessler, Jason",17.07,34.2,69.35,73.27,87.05,105.68,125.73,145.83,155.08,5.92,181,159,146,34,M,USA,OH,Perrysburg,326
"Chesto, Jon",20.38,40.65,80.78,85.18,100.9,121.73,143.13,165.57,174.8,6.67,1461,1381,181,43,M,USA,MA,South Boston,327
"Del Monaco, Mark D",17.95,36.02,71.9,75.77,89.7,108.28,127.12,146.1,154.62,5.9,168,147,136,26,M,USA,CO,Boulder,328
"Torres Peanilla, Jose Ramon T. Sr.",19.28,38.65,78.57,82.98,99.38,125.02,149.5,173.43,183.97,7.02,3033,2842,261,49,M,ESP,others,Burgos,329
"Hernandez, Hector",18.37,36.87,72.97,77.02,91.27,109.92,129.02,148.72,157.48,6.02,244,218,19,42,M,USA,CA,Chula Vista,330
"Deeg, Thomas",18.05,35.72,71.9,75.88,90.22,109.02,128.07,148.93,157.77,6.03,250,224,197,33,M,USA,MA,Eastham,331
"Walsh, Anthony S",17.87,35.7,72.55,76.53,91.47,110.77,130.0,149.92,158.15,6.03,265,239,210,30,M,USA,MA,Boston,333
"Hardy, Tim",19.05,37.9,75.48,79.63,94.28,113.57,133.47,153.7,162.78,6.22,466,435,371,38,M,USA,MN,North Mankato,334
"Arnstein, Michael",21.0,42.17,84.77,89.45,105.62,126.45,146.77,166.02,173.83,6.63,1340,1267,983,37,M,USA,HI,Kailua,335
"Glover, Brendan",18.42,36.97,74.73,78.92,94.12,114.67,136.22,158.2,168.13,6.42,801,758,618,29,M,USA,NY,Corning,337
"Garnier, Louis-Philippe",18.25,36.58,73.98,78.03,92.78,112.13,131.5,150.45,158.57,6.05,279,253,7,49,M,CAN,QC,Montreal,338
"Sullivan, Tyler J.",17.73,35.9,72.8,76.9,91.57,110.9,131.08,152.53,161.85,6.18,415,387,332,26,M,USA,IA,Iowa City,339
"Underwood, Steven T.",17.38,34.93,70.58,74.47,88.35,106.82,126.92,162.3,174.58,6.67,1436,1357,1047,27,M,USA,CA,Encinitas,340
"Cech, Jay",17.65,35.67,72.2,76.25,90.58,109.2,127.48,145.5,153.43,5.87,141,121,112,36,M,USA,OR,Portland,341
"Engle, Charles",18.88,37.92,76.43,80.65,96.07,116.4,137.37,159.28,168.68,6.45,843,798,93,43,M,USA,VA,Arlington,342
"Ash, Alan",17.98,35.9,72.07,76.03,90.12,108.67,127.52,145.9,153.9,5.88,148,127,117,22,M,USA,AL,Atmore,343
"Deblander, Matthew D",17.13,34.15,68.58,72.38,86.13,104.2,122.48,140.7,148.92,5.68,80,68,63,26,M,USA,PA,Duboistown,346
"Aguero, Matt",18.52,37.03,74.03,78.03,92.23,110.82,129.18,147.53,155.55,5.93,197,174,156,33,M,USA,OK,Shawnee,347
"Brown, Walter J.",18.28,36.47,74.05,78.17,92.93,112.08,132.23,153.37,163.78,6.25,513,481,49,43,M,USA,UT,South Jordan,348
"Fernandez Marcos, Noel",18.13,36.47,73.33,77.37,91.8,110.88,130.78,154.18,164.87,6.3,585,552,458,37,M,USA,TX,Irving,349
"Burns, Scott",18.48,37.03,75.08,79.43,95.4,169.53,192.87,214.85,224.47,8.57,13748,9322,3732,33,M,USA,PA,West Chester,350
"Mitchell, Michael",18.58,36.87,73.65,77.68,92.03,111.35,133.02,156.62,165.95,6.33,647,610,505,29,M,USA,NC,Mint Hill,351
"Perry, Tim",18.12,36.17,73.5,77.62,92.42,112.02,132.0,152.5,161.42,6.17,390,363,313,30,M,USA,NH,Manchester,353
"Ritchie, Tom",18.17,35.63,70.95,74.75,88.77,108.0,127.97,147.47,155.45,5.93,194,171,12,40,M,USA,AK,Anchorage,354
"Huberty, Bryan",17.63,35.17,71.55,75.42,90.05,109.22,129.82,165.98,177.93,6.8,1935,1829,1353,35,M,USA,FL,Miami Beach,355
"Apovian, Marcelo",18.4,35.77,71.78,75.65,89.75,108.25,127.23,148.53,159.25,6.08,309,282,27,41,M,BRA,others,Sao Paulo,356
"Carrier, Chris P",18.6,37.1,74.32,78.33,92.75,111.58,130.37,148.87,156.88,5.98,224,200,178,29,M,USA,VA,Richmond,357
"Cummings, Cameron M",16.68,33.62,69.12,72.98,87.33,105.88,124.78,142.92,151.02,5.77,108,94,88,32,M,USA,NE,Omaha,358
"Baum, Justin",18.42,37.0,75.1,79.23,94.13,114.2,135.15,156.32,165.38,6.32,609,575,479,28,M,USA,OH,Magnolia,359
"Turner, Wesley C",18.35,36.53,73.35,77.4,92.0,111.35,132.57,151.73,160.17,6.12,349,322,281,27,M,USA,PA,Erie,360
